<mb_metadata>
id;name;longitude;latitude;height (m.asl.);country;timezone;utc-timedifference;sunrise;sunset;
local date;weekday;local time;temperature(C);feeledTemperature(C);windspeed(km/h);winddirection(degr);wind gust(km/h);low clouds(%);medium clouds(%);high clouds(%);precipitation(mm);probability of Precip(%);snowFraction;sea level pressure(hPa);relative humidity(%);CAPE;picto-code;radiation (W/m2);
</mb_metadata><valid_until>2030-12-31</valid_until>
<station>
;Dresden Klotzsche;13.77999973;51.13000107;225.8568;Germany;CEST;UTC+02.00;5:57;20:10;
21.04.2017;Fri;20; 11.0; 11.0; 18;270;  0;  0;  0;  0;  0.0;  0;0.0;1021; 58;     0; 3;   0;
21.04.2017;Fri;21; 11.0; 11.0; 19;257; 19; 78; 78; 78;  0.0;  0;0.0;1021; 58;     0; 3;   0;
21.04.2017;Fri;22; 11.0; 11.0; 21;260; 21; 78; 78; 78;  0.0;  0;0.0;1021; 62;     0; 3;   0;
21.04.2017;Fri;23; 10.0; 10.0; 24;262; 24; 80; 80; 80;  0.0; 14;0.0;1020; 65;     0; 4;   0;
22.04.2017;Sat;00; 10.0; 10.0; 24;265; 24; 82; 82; 82;  0.0; 37;0.0;1020; 68;     0;12;   0;
22.04.2017;Sat;01; 10.0; 10.0; 24;268; 24; 97; 97; 97;  0.0; 38;0.0;1020; 75;     0;12;   0;
22.04.2017;Sat;02;  9.0;  9.0; 24;274; 24; 98; 98; 98;  0.0; 79;0.0;1019; 77;     0;12;   0;
22.04.2017;Sat;03;  9.0;  9.0; 23;287; 23;100;100;100;  1.0; 86;0.0;1018; 81;     0;13;   0;
22.04.2017;Sat;04;  8.0;  5.0; 23;297; 23;100;100;100;  1.0; 88;0.0;1019; 88;     0;13;   0;
22.04.2017;Sat;05;  7.0;  3.0; 23;310; 23;100;100;100;  0.0; 35;0.0;1019; 93;     0;12;   0;
22.04.2017;Sat;06;  6.0;  2.0; 21;308; 21; 91; 91; 91;  0.0; 17;0.0;1020; 91;     0; 4;   0;
22.04.2017;Sat;07;  6.0;  2.0; 19;306; 19; 89; 89; 89;  0.0; 16;0.0;1020; 88;     0; 4;   0;
22.04.2017;Sat;08;  5.0;  1.0; 19;306; 19; 85; 85; 85;  0.0; 23;0.0;1021; 84;     0; 4;   0;
22.04.2017;Sat;09;  6.0;  2.0; 21;304; 21; 85; 85; 85;  0.0; 17;0.0;1021; 78;     0; 4;   0;
22.04.2017;Sat;10;  6.0;  2.0; 24;300; 24; 87; 87; 87;  0.0; 24;0.0;1021; 71;     0; 4;   0;
22.04.2017;Sat;11;  6.0;  2.0; 26;300; 26; 96; 96; 96;  0.0; 49;0.0;1021; 66;     0;12;   0;
22.04.2017;Sat;12;  7.0;  3.0; 27;301; 27; 90; 90; 90;  0.0; 35;0.0;1021; 61;     0;12;   0;
22.04.2017;Sat;13;  7.0;  3.0; 29;300; 29; 73; 73; 73;  0.0;  9;0.0;1020; 59;     0; 3;   0;
22.04.2017;Sat;14;  8.0;  4.0; 29;300; 29; 86; 86; 86;  0.0;  7;0.0;1020; 55;     0; 4;   0;
22.04.2017;Sat;15;  8.0;  4.0; 27;298; 27; 94; 94; 94;  0.0; 35;0.0;1019; 53;     0;12;   0;
22.04.2017;Sat;16;  8.0;  4.0; 27;295; 27; 55; 55; 55;  0.0;  8;0.0;1019; 55;     0; 2;   0;
22.04.2017;Sat;17;  8.0;  4.0; 27;299; 27; 56; 56; 56;  0.0;  6;0.0;1019; 55;     0; 2;   0;
22.04.2017;Sat;18;  8.0;  4.0; 24;296; 24; 73; 73; 73;  0.0; 15;0.0;1018; 55;     0; 3;   0;
22.04.2017;Sat;19;  8.0;  5.0; 21;299; 21; 71; 71; 71;  0.0;  8;0.0;1018; 58;     0; 3;   0;
22.04.2017;Sat;20;  7.0;  4.0; 18;297; 18; 67; 67; 67;  0.0; 11;0.0;1018; 61;     0; 3;   0;
22.04.2017;Sat;21;  6.0;  3.0; 18;290; 18; 65; 65; 65;  0.0; 17;0.0;1019; 64;     0; 3;   0;
22.04.2017;Sat;22;  6.0;  2.0; 19;288; 19; 62; 62; 62;  0.0; 12;0.0;1019; 67;     0; 3;   0;
22.04.2017;Sat;23;  5.0;  1.0; 21;284; 21; 57; 57; 57;  0.0; 13;0.0;1019; 71;     0; 2;   0;
23.04.2017;Sun;00;  4.0; -0.0; 21;287; 21; 57; 57; 57;  0.0; 14;0.0;1019; 74;     0; 2;   0;
23.04.2017;Sun;01;  4.0; -0.0; 19;285; 19; 56; 56; 56;  0.0; 14;0.0;1019; 77;     0; 2;   0;
23.04.2017;Sun;02;  4.0; -0.0; 21;286; 21; 58; 58; 58;  0.0;  7;0.0;1019; 80;     0; 2;   0;
23.04.2017;Sun;03;  3.0; -1.0; 19;287; 19; 67; 67; 67;  0.0;  8;0.0;1019; 84;     0; 3;   0;
23.04.2017;Sun;04;  3.0; -1.0; 19;285; 19; 82; 82; 82;  0.0;  8;0.0;1020; 86;     0; 4;   0;
23.04.2017;Sun;05;  3.0; -1.0; 19;283; 19; 90; 90; 90;  0.0; 46;0.0;1020; 87;     0;12;   0;
23.04.2017;Sun;06;  3.0; -1.0; 19;282; 19; 92; 92; 92;  0.0; 53;0.0;1020; 89;     0;12;   0;
23.04.2017;Sun;07;  3.0; -1.0; 18;280; 18; 93; 93; 93;  0.0; 56;0.0;1020; 89;     0;21;   0;
23.04.2017;Sun;08;  2.0; -3.0; 19;279; 19; 93; 93; 93;  0.0; 63;0.0;1021; 91;     0;19;   0;
23.04.2017;Sun;09;  3.0; -2.0; 21;282; 21; 93; 93; 93;  0.0; 65;0.0;1021; 87;     0;12;   0;
